branch,program,iteration,vsz_pr,rss_pr,vsz_tc,rss_ts,vsz_cg,rss_cg
none,chibicc_parse.tea,36,3828,3816,5148,5512,816,528
none,chibicc_parse.tea,37,3828,3816,5148,5572,816,528
none,chibicc_parse.tea,38,3828,3816,5148,5572,816,528
none,chibicc_parse.tea,39,3828,3828,5148,5572,816,528
none,chibicc_parse.tea,40,3828,3756,5148,5512,816,528
none,chibicc_parse.tea,41,3828,3772,5148,5512,816,528
none,chibicc_parse.tea,42,3828,3756,5148,5468,816,528
none,chibicc_parse.tea,43,3828,3816,5148,5572,816,528
none,chibicc_parse.tea,44,3828,3756,5148,5512,816,528
none,chibicc_parse.tea,45,3828,3756,5148,5512,816,528
none,chibicc_parse.tea,46,3828,3756,5148,5512,816,528
none,chibicc_parse.tea,47,3828,3772,5148,5392,816,528
none,chibicc_parse.tea,48,3828,3696,5148,5512,816,528
none,chibicc_parse.tea,49,3828,3756,5148,5512,816,528
none,chibicc_parse.tea,50,3828,3756,5148,5512,816,528
none,gzip.tea,1,4892,4812,928,1228,888,792
none,gzip.tea,2,4892,4812,928,1168,888,792
none,gzip.tea,3,4892,4872,928,1288,888,792
none,gzip.tea,4,4892,4872,928,1348,888,792
none,gzip.tea,5,4892,4872,928,1288,888,792
none,gzip.tea,6,4892,4812,928,1288,888,792
none,gzip.tea,7,4892,4884,928,1348,888,792
none,gzip.tea,8,4892,4812,928,1228,888,792
none,gzip.tea,9,4892,4872,928,1288,888,792
none,gzip.tea,10,4892,4752,928,1288,888,792
none,gzip.tea,11,4892,4752,928,1288,888,792
none,gzip.tea,12,4892,4824,928,1288,888,792
none,gzip.tea,13,4892,4872,928,1348,888,792
none,gzip.tea,14,4892,4872,928,1348,888,792
none,gzip.tea,15,4892,4812,928,1168,888,792
none,gzip.tea,16,4892,4872,928,1348,888,792
none,gzip.tea,17,4892,4812,928,1244,888,792
none,gzip.tea,18,4892,4812,928,1168,888,792
none,gzip.tea,19,4892,4872,928,1348,888,792
none,gzip.tea,20,4892,4812,928,1168,888,792
none,gzip.tea,21,4892,4812,928,1228,888,792
none,gzip.tea,22,4892,4872,928,1348,888,792
none,gzip.tea,23,4892,4812,928,1228,888,792
none,gzip.tea,24,4892,4812,928,1288,888,792
none,gzip.tea,25,4892,4752,928,1288,888,792
none,gzip.tea,26,4892,4752,928,1288,888,792
none,gzip.tea,27,4892,4812,928,1228,888,792
none,gzip.tea,28,4892,4812,928,1168,888,792
none,gzip.tea,29,4892,4812,928,1288,888,792
none,gzip.tea,30,4892,4888,928,1348,888,792
none,gzip.tea,31,4892,4752,928,1288,888,792
none,gzip.tea,32,4892,4812,928,1288,888,792
none,gzip.tea,33,4892,4812,928,1168,888,792
none,gzip.tea,34,4892,4812,928,1288,888,792
none,gzip.tea,35,4892,4812,928,1228,888,792
none,gzip.tea,36,4892,4812,928,1244,888,792
none,gzip.tea,37,4892,4812,928,1168,888,792
none,gzip.tea,38,4892,4872,928,1348,888,792
none,gzip.tea,39,4892,4812,928,1288,888,792
none,gzip.tea,40,4892,4812,928,1244,888,800
none,gzip.tea,41,4892,4872,928,1348,888,792
none,gzip.tea,42,4892,4752,928,1288,888,792
none,gzip.tea,43,4892,4812,928,1288,888,792
none,gzip.tea,44,4892,4752,928,1288,888,792
none,gzip.tea,45,4892,4812,928,1300,888,792
none,gzip.tea,46,4892,4812,928,1288,888,800
none,gzip.tea,47,4892,4812,928,1288,888,792
none,gzip.tea,48,4892,4812,928,1228,888,792
none,gzip.tea,49,4892,4812,928,1228,888,792
none,gzip.tea,50,4892,4872,928,1288,888,792
none,zlib.tea,1,7524,7716,13820,13840,1500,1324
none,zlib.tea,2,7524,7716,13820,13960,1500,1324
none,zlib.tea,3,7524,7716,13820,13960,1500,1320
none,zlib.tea,4,7524,7716,13820,13900,1500,1320
none,zlib.tea,5,7524,7716,13820,13900,1500,1320
none,zlib.tea,6,7524,7732,13820,13972,1500,1320
none,zlib.tea,7,7524,7776,13820,14020,1500,1320
none,zlib.tea,8,7524,7716,13820,13960,1500,1320
none,zlib.tea,9,7524,7716,13820,13960,1500,1320
none,zlib.tea,10,7524,7716,13820,13900,1500,1328
none,zlib.tea,11,7524,7716,13820,13900,1500,1320
none,zlib.tea,12,7524,7776,13820,14020,1500,1320
none,zlib.tea,13,7524,7776,13820,14020,1500,1320
none,zlib.tea,14,7524,7716,13820,13960,1500,1320
none,zlib.tea,15,7524,7716,13820,13900,1500,1320
none,zlib.tea,16,7524,7716,13820,13916,1500,1320
none,zlib.tea,17,7524,7716,13820,13960,1500,1320
none,zlib.tea,18,7524,7716,13820,13960,1500,1320
none,zlib.tea,19,7524,7716,13820,13900,1500,1320
none,zlib.tea,20,7524,7716,13820,13840,1500,1320
none,zlib.tea,21,7524,7776,13820,14020,1500,1320
none,zlib.tea,22,7524,7792,13820,14020,1500,1320
none,zlib.tea,23,7524,7732,13820,13960,1500,1320
none,zlib.tea,24,7524,7716,13820,13840,1500,1320
none,zlib.tea,25,7524,7732,13820,13900,1500,1320
none,zlib.tea,26,7524,7716,13820,13960,1500,1320
none,zlib.tea,27,7524,7716,13820,13916,1500,1320
none,zlib.tea,28,7524,7716,13820,13900,1500,1320
none,zlib.tea,29,7524,7728,13820,13900,1500,1320
none,zlib.tea,30,7524,7716,13820,13972,1500,1320
none,zlib.tea,31,7524,7716,13820,13840,1500,1320
none,zlib.tea,32,7524,7716,13820,13960,1500,1320
none,zlib.tea,33,7524,7776,13820,14020,1500,1320
none,zlib.tea,34,7524,7716,13820,13960,1500,1320
none,zlib.tea,35,7524,7716,13820,13900,1500,1324
none,zlib.tea,36,7524,7716,13820,13960,1500,1320
none,zlib.tea,37,7524,7716,13820,13840,1500,1320
none,zlib.tea,38,7524,7716,13820,13960,1500,1320
none,zlib.tea,39,7524,7716,13820,13900,1500,1320
none,zlib.tea,40,7524,7716,13820,13972,1500,1320
none,zlib.tea,41,7524,7716,13820,13900,1500,1328
none,zlib.tea,42,7524,7716,13820,13840,1500,1320
none,zlib.tea,43,7524,7776,13820,13960,1500,1320
none,zlib.tea,44,7524,7716,13820,13960,1500,1320
none,zlib.tea,45,7524,7716,13820,13960,1500,1320
none,zlib.tea,46,7524,7716,13820,13916,1500,1320
none,zlib.tea,47,7524,7716,13820,13960,1500,1320
none,zlib.tea,48,7524,7716,13820,13900,1500,1320
none,zlib.tea,49,7524,7792,13820,14020,1500,1320
none,zlib.tea,50,7524,7716,13820,13960,1500,1320
compact-token,chibicc_combined.tea,1,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,2,6204,6132,8712,8884,1608,1320
compact-token,chibicc_combined.tea,3,6204,6192,8712,9004,1608,1320
compact-token,chibicc_combined.tea,4,6204,6132,8712,8824,1608,1320
compact-token,chibicc_combined.tea,5,6204,6072,8712,8944,1608,1328
compact-token,chibicc_combined.tea,6,6204,6192,8712,9004,1608,1320
compact-token,chibicc_combined.tea,7,6204,6072,8712,8944,1608,1324
compact-token,chibicc_combined.tea,8,6204,6132,8712,8944,1608,1320
compact-token,chibicc_combined.tea,9,6204,6132,8712,8956,1608,1320
